country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Colombia,0.6952,0.6713,0.5457,0.5012,0.8599,0.9962,0.9356,1.3317,1.0208,0.8638,0.7496,0.5795,0.5257,0.4834,0.6083,0.8922,0.8981,1.0005,1.1422,1.3896,1.8055,2.3968,1.6669,1.1391,1.5971,1.194,1.2356,1.2576,1.1352,1.0868
Kenya,0.6057,0.5068,0.2895,0.4764,1.5261,1.4017,1.1004,1.84,1.799,1.0519,0.7298,0.694,0.6767,0.4107,0.7101,,,,,,,,,,,,,,,
Tanzania,0.4082,0.495,0.4916,0.3828,0.6216,0.8676,0.6253,1.1852,0.907,0.6588,0.5432,0.3486,0.2593,0.2478,0.2637,0.4369,0.4277,0.5978,0.6338,,,,,,,,,,,
Bolivia,0.5178,0.5242,0.4353,0.2733,0.7992,0.7699,0.5718,1.0007,1.3109,0.9871,0.7805,,,,,,,,,,,,2.2564,2.0197,2.3925,2.3479,2.7179,4.7162,4.5515,8.5829
Burundi,0.5802,0.5502,0.5923,0.5827,0.6068,0.5669,0.5197,0.5279,0.5222,0.4657,0.3735,0.3219,0.2917,0.2488,0.2736,0.4293,0.6345,0.8035,0.8619,0.8568,0.8569,,,,,,,,,
Cameroon,0.3229,0.2823,0.2876,0.2325,0.8832,0.8526,0.8095,0.4364,0.6683,0.8841,0.3322,0.1909,0.2456,0.3527,,,,0.8019,0.7913,0.6605,,,,0.8287,,,,,0.7079,0.7085
Costa Rica,0.5849,0.5273,0.4991,0.5427,0.8136,0.8823,0.9278,0.9826,0.9266,0.7955,0.6928,0.4669,0.4674,0.5299,0.6487,0.8343,0.8922,0.9864,1.0617,1.0688,1.3986,1.8022,1.6073,1.2465,1.3077,1.4584,1.2911,1.3809,,
Cuba,1.7143,1.7143,1.8,1.8857,2.0353,1.886,1.8857,1.8857,1.8857,1.8857,1.8857,1.8857,1.8857,1.6893,0.7018,0.7071,0.7071,0.4714,0.7071,0.7071,0.7071,0.7071,0.7071,2.2196,2.3571,2.3571,2.3571,2.3571,,
Congo,,,,,,0.5112,0.6804,0.8505,0.6314,,,,,,,,,,,,,,,,,,,0.6237,0.6237,0.6237
Dominican Republic,0.6606,0.6264,0.4656,0.5312,1.1226,1.0926,0.8767,1.6641,0.9525,0.7418,0.6801,0.4204,0.5083,0.4957,0.757,0.8792,0.8629,0.8713,1.0145,1.0604,1.3913,1.9107,1.4781,1.4098,1.8356,1.7101,1.7719,1.7336,1.5361,1.4826
Ecuador,0.3521,0.3618,0.2908,0.2766,0.7642,1.733,1.4113,1.6792,1.106,0.7805,0.6597,0.2728,0.2736,0.3106,0.5119,0.9162,0.9245,1.1052,1.4504,1.4709,1.6188,2.2721,1.839,1.2224,1.0045,,,,,
El Salvador,0.5056,0.4454,0.3091,0.3535,0.9926,1.0051,0.7502,1.2514,0.8505,0.5692,0.4455,0.1763,0.2184,0.2569,0.393,0.671,0.6749,0.7524,0.8605,0.7919,1.0988,1.8674,1.2012,0.9528,1.1701,0.8745,0.8953,0.8762,0.7453,0.6555
Guatemala,0.5458,0.5753,0.4023,0.4143,0.7532,0.9934,0.8377,0.9725,1.0245,0.7924,0.7037,0.4535,0.4961,0.4842,0.6691,0.9246,0.9119,0.9831,1.1103,1.0964,1.4477,2.1241,1.6598,1.2706,1.5283,1.3922,1.3547,1.3412,1.2218,
Haiti,0.4128,0.2399,0.0875,0.1449,0.2587,0.363,0.2814,0.2937,0.3095,0.229,0.2249,,,,,,,,,,,,,,,,,,,
Honduras,0.5035,0.5612,0.4014,0.3754,0.8157,1.0255,0.6766,1.1688,0.9326,0.6148,0.5429,0.3432,0.3706,0.4171,0.5022,0.7869,0.8082,0.8163,0.9056,0.8372,1.2516,2.0002,1.4115,1.018,1.1894,1.1097,0.9317,0.9077,0.8404,0.7237
India,0.6675,0.6153,0.5396,0.5792,0.7841,0.8472,0.7832,1.3018,0.9947,0.6744,0.6375,0.4382,0.3961,0.4345,0.5832,0.9653,0.9586,1.0803,1.217,1.3689,1.5108,2.2846,1.6198,1.1706,1.7565,1.571,1.3221,1.3575,1.1012,1.0596
Jamaica,1.7155,2.2742,1.8251,2.5554,2.906,2.8424,3.3211,2.8678,2.1545,1.7727,2.0844,1.6959,2.376,1.8562,1.8542,2.4469,3.5489,3.4306,3.4848,2.9597,2.8682,3.0269,3.0144,,,,,,,
Madagascar,,,,,,0.8735,0.9472,0.5874,0.5035,0.4349,1.5583,0.6459,0.725,0.8658,0.4682,0.508,,,,,,,,,,,,,,
Malawi,0.8487,0.7094,0.4868,0.5734,0.9241,1.253,0.9566,1.0875,1.0152,0.7764,0.576,0.4642,0.3979,0.3962,0.5168,0.8371,0.8458,0.8036,0.7623,0.9131,0.9635,,,,,,,,,
Mexico,0.7956,0.8656,0.5825,0.7931,1.5791,1.6279,1.2344,1.3612,1.0169,0.809,0.6408,0.5398,0.4508,0.6402,0.9078,1.3903,0.855,0.9091,1.0605,,,,,,,,,,,
Nicaragua,,0.4414,0.4414,,,,,,,,,0.2965,0.3015,0.3442,0.4087,0.5288,0.5866,0.6436,0.7102,0.7102,0.7854,0.9103,0.6084,0.3952,0.7185,,,,,
Panama,0.493,0.4725,0.4437,0.5177,0.8012,0.9738,1.0091,1.2655,1.1176,,,,,,,,,,,,,,,,,,,,,
Papua New Guinea,0.655,0.6453,0.5796,0.8492,1.4908,0.8398,0.9502,1.5374,1.0485,0.6082,0.4928,0.3297,0.3166,0.3699,0.411,0.6226,0.7128,0.7669,1.1178,0.7275,0.9489,1.4124,0.9882,0.6199,0.8631,0.6652,0.575,,,
Peru,0.9037,,0.3197,0.3244,0.8814,0.9584,0.777,1.0528,0.7543,0.5973,0.5386,0.3477,0.2952,0.3293,0.4243,0.7194,0.6883,0.8544,0.9239,0.9266,1.1918,,1.3234,0.9853,1.2569,1.0429,0.7884,,,
Rwanda,0.742,0.5038,0.4891,0.4521,0.4942,0.5493,0.5544,0.5642,0.5565,0.4533,0.3408,0.2326,0.1788,0.2489,0.2946,0.4625,,,,,,,,,,,,,,
Sri Lanka,,,,,0.7199,0.9899,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,0.1529,0.2964,0.2,0.2502,0.755,0.6826,0.53,0.8031,0.7875,0.4656,0.41,0.2751,0.2752,0.2864,0.3599,0.5786,0.5534,0.6501,0.7332,0.6054,0.8723,1.4703,0.9368,0.7003,1.037,0.8127,0.7109,0.77,0.6825,0.6085
Venezuela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zambia,0.8975,0.7032,0.3496,0.5449,0.8827,0.6926,0.8147,1.2189,1.3083,1.197,0.9186,0.6573,0.6001,0.5297,0.6444,0.8718,1.0018,1.0645,1.267,1.1654,1.2015,0.8479,,,,,,,,
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,0.5702,0.3764,0.5461,0.4581,1.0046,1.5948,1.2052,
Brazil,0.5432,0.4399,0.452,0.5288,1.1457,1.1552,0.9635,1.4541,1.0525,0.7407,0.6598,0.3705,0.3091,0.4282,0.5633,0.8709,0.8702,0.983,1.0926,1.008,1.34,2.2426,1.5229,1.0214,1.347,1.0449,1.0783,1.1048,0.9078,0.8148
Ethiopia,0.6109,0.6819,0.6121,0.6172,1.0955,1.1502,0.6774,0.9106,0.9186,0.6564,0.5642,0.4378,0.2688,0.3457,0.4885,0.6423,0.5832,0.6983,0.7171,0.7706,0.8546,1.4546,1.0279,0.733,0.8324,0.7603,0.8731,0.8151,0.7068,0.6931
Indonesia,,,,1.1553,1.7351,,,1.1226,0.9941,,0.6841,0.5361,0.5966,0.4205,0.8062,1.1704,1.0752,1.1799,,,,,,,,,,,,
Philippines,,,0.5574,0.542,0.9962,1.063,0.7631,0.7974,0.8187,0.6489,0.3704,0.4936,0.2174,0.6063,0.6623,0.8,0.6151,0.8137,0.9552,,,,2.6201,,,,,,,
Thailand,,,,,,,,,,,,,,,,,,,,,,,,2.0344,1.1333,1.2458,,,,
Vietnam,,,,,,,,,,,,,,,,,,,,,,,0.8447,,,,,,,
Angola,0.8566,0.9112,0.4492,0.1187,,,,,,,0.5174,0.1861,0.1071,0.0661,0.0992,0.1042,0.1298,0.3605,0.4232,0.4014,0.4439,0.4829,0.4751,0.3137,0.4615,0.3818,0.7833,1.3214,1.0043,
Benin,0.5376,0.229,0.2401,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,0.3485,0.2749,0.2759,0.3554,0.8543,0.975,0.6978,0.7786,0.7775,0.5693,0.4153,0.1935,0.1999,0.3161,0.3485,0.4647,0.6203,0.7894,0.9158,0.7342,0.7422,1.0529,1.044,0.8529,0.8116,0.7353,0.9278,0.9821,0.6742,0.5645
Burundi,,,0.4716,0.418,0.4145,0.4234,0.4045,0.4019,0.3536,,,,,,,,,,,,,,,,,,,,,
Cameroon,0.2833,0.2501,0.2425,0.174,0.2985,0.5208,0.5102,0.389,0.3646,0.313,0.3044,0.2113,0.1605,0.2226,,,,0.5513,0.5254,0.3774,,,,0.6643,,,,,0.4522,0.4526
Central African Republic,0.3675,0.3664,0.3393,0.2389,0.3274,0.5719,0.4507,0.3836,0.3786,0.2971,0.1828,0.1322,0.1194,0.1806,0.2017,,,0.4534,0.4569,0.4359,0.514,0.7272,0.6873,,,0.4003,0.3074,,,
"Congo, Rep.",0.1921,0.1855,0.1975,0.1844,0.0877,0.2728,0.1419,,,,,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,0.3341,0.3227,0.3176,0.277,0.2978,0.594,0.577,0.3929,0.4014,0.3881,0.2385,,0.0896,0.1771,0.1477,0.1123,0.2799,0.3284,0.5186,0.3752,0.2249,0.284,0.4629,0.5694,0.5697,0.4987,0.5276,0.5856,0.6197,
Congo,0.0452,,,,,0.2835,0.3289,0.4536,0.4428,0.8818,0.4504,0.0795,0.0296,0.0561,,,,,,,,,,,,,,0.4536,0.4536,0.4536
Ecuador,0.1906,0.1784,0.2331,0.1952,0.6329,1.4362,0.9751,0.6119,0.6663,0.4748,0.327,0.1126,0.12,0.2186,0.2975,0.5096,0.5373,0.649,0.7926,0.7799,0.8055,0.9526,0.9512,0.764,0.4647,,,,,
Gabon,0.4343,0.4358,0.5152,0.4811,0.2776,0.4092,0.3991,0.379,0.5026,0.5901,0.5111,0.4793,0.4458,,,,,,,0.9196,0.8258,0.8892,0.889,0.9184,0.9189,0.7707,,,,
Ghana,,,,,,,,,,,,,,,,,,,,,,0.1843,0.1772,0.2136,0.1594,0.2412,0.3848,0.4089,,
Guinea,0.3437,0.3025,0.2375,0.2747,0.6133,0.9226,,,,,,,,,,,,,,,,,,,,,,,,
India,0.4435,0.4065,0.3977,0.4421,0.5646,0.6653,0.5667,0.763,0.7562,0.5761,0.3587,0.2344,0.2208,0.286,0.308,0.5242,0.6135,0.7938,0.9612,0.7313,0.7796,1.096,1.0465,0.9488,1.0463,0.8795,0.8271,0.9497,0.7848,0.7068
Indonesia,0.2968,0.2992,0.2492,0.2849,0.9138,0.9567,0.5835,0.5843,0.5937,0.4655,0.224,0.1357,0.1465,0.1661,0.2417,0.3421,0.5247,0.558,,,,,,,,,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madagascar,0.3245,0.2276,0.2262,0.3627,0.4399,0.5873,0.6106,0.4948,0.4825,0.3805,1.09,0.5166,0.557,0.5592,0.1974,0.3024,0.4171,0.6957,,,,,,,,,,,,
Nigeria,0.7052,0.5903,0.395,0.3608,0.5155,,,,,,,,,,,,,,,,,,,,,,,,,
Papua New Guinea,0.266,0.2948,0.391,0.548,0.9564,0.6631,0.6375,0.7543,0.5915,0.377,0.2189,0.12,0.1331,0.1731,0.2216,0.243,0.3289,0.2391,0.349,0.2757,0.2945,0.3768,0.3724,0.2404,0.2263,0.251,0.2154,,,
Philippines,0.3423,0.3461,0.4248,0.4645,0.9466,1.0431,0.6891,0.7291,0.7666,0.6014,0.342,0.2363,0.2145,0.3265,0.3189,0.4169,0.5532,0.7448,0.8833,0.6938,0.6587,1.0838,0.9638,0.9017,,,,,,
Sierra Leone,0.2617,,,,,,,,,,,,,,,,,,,,,0.1883,0.3187,,,,,,,
Sri Lanka,0.269,0.2529,0.3185,0.2889,0.7199,0.9324,,,,,,,,,,,,,,,,,,,,,,,,
Tanzania,0.1701,0.1711,0.1484,0.1188,0.24,0.4461,0.322,0.9248,0.2819,0.2352,0.1529,0.0521,0.043,0.0672,0.0755,0.1427,0.2145,0.2138,0.3532,,,,,,,,,,,
Thailand,0.3772,0.1837,0.203,0.1829,0.1879,0.3684,0.4335,0.2185,0.2733,0.3131,0.1235,0.1275,0.0644,0.1325,0.1283,0.1832,0.4655,0.6467,0.8375,0.9048,0.845,1.0764,1.0309,1.0377,0.9204,0.9653,,,,
Togo,0.2923,0.2864,0.2983,0.2264,0.2599,0.6141,0.6258,0.4489,0.4993,0.4322,0.2292,0.1532,0.1827,0.2277,0.2191,0.2792,0.4472,0.5672,0.7694,0.4471,0.4236,0.7414,0.685,0.6656,0.5988,0.5955,0.6573,0.6873,0.7093,0.705
Trinidad and Tobago,0.6259,0.6259,0.6929,0.722,0.6414,0.6389,0.6325,0.6063,0.6029,0.7923,,,,,,,,,,,,,,,,,,,,
Uganda,0.0754,0.1184,0.0895,0.1177,0.4166,0.5979,0.3744,0.4169,0.4002,0.3152,0.1992,0.1057,0.1278,0.2081,0.2626,0.4082,0.4702,0.5588,0.7109,0.4903,0.5561,0.7354,0.718,0.6771,0.7018,0.6022,0.5941,0.6395,0.5723,0.5461
Vietnam,0.3692,0.3073,0.3071,0.3453,0.8601,0.9518,0.5742,0.5614,0.6587,0.507,0.2655,0.1512,0.1814,0.2794,0.26,0.359,0.545,0.7114,0.8915,0.6552,0.6718,0.9857,0.8797,0.9023,,,,,,
